id,section,no,title,date,pdf_link
9f4159f1fbc0649b,whats_new,1,Engagement of Homeopathic Doctor on part-time contract basis in CCI - Last Date 16.12.2025 (1730 Hrs),2025-12-16,https://cci.gov.in/images/whatsnew/en/advertisementnoticedoctor1764329070.pdf
1daf048b4feeea43,whats_new,2,Filling up of Posts in the Competition Commission of India on Deputation Basis - Date Extended to 05.09.2025,2025-05-09,https://cci.gov.in/images/whatsnew/en/extension-of-last-date-for-submitting-application-for-deputation-to-various-posts-in-cci1755864280.pdf
b93e1c405c4e0d84,whats_new,3,"Notice for extended time for inviting public comments in case No. 42-2022,  Last Date: 01.09.2025",2025-01-09,https://cci.gov.in/images/whatsnew/en/extension-notice-dated-200820251755689951.pdf
888889831e431b30,whats_new,4,Notice inviting public comments with respect to the Commitment offer submitted by the Opposite parties in Case No 42 of 2022 titled Winzo Games Pvt. Ltd. v Google LLC and Ors.,,https://cci.gov.in/images/whatsnew/en/notice-for-public-consultation1753877881.pdf
e0875329f4f7d03c,whats_new,5,"Notice for Inviting Limited Tender for Minor Modification work in CCI Office premises at Kidwai Nagar (East), New Delhi",,https://cci.gov.in/images/whatsnew/en/limited-tender-document-minor-modification-work-in-cci-at-kidwai-nagar-east-new-delhi1753684620.pdf
70e42ebc14c4da21,whats_new,6,Call for Papers: 11th National Conference on Economics of Competition Law 2026,,https://cci.gov.in/images/whatsnew/en/call-for-papers-11th-national-conference-on-economics-of-competition-law-final1751535106.pdf
6c50a78abd26e859,whats_new,7,"Chairperson's Interview Featured in Business Standard, Print Edition Dated: 21 June 2025",,https://cci.gov.in/images/whatsnew/en/bs-cci1750847322.pdf
663f6813215e0091,whats_new,8,"Filling up of posts in the office of DG, CCI extension of last Date: 04.07.2025",2025-04-07,https://cci.gov.in/images/whatsnew/en/filling-up-of-posts-in-the-office-of-dg-cci-extension-of-last-date-4-july-20251750335460.pdf
55913c596a2b3c02,whats_new,9,Filling up of Posts in the Competition Commission of India on Deputation Basis - Last Date 22.08.2025,2025-08-22,https://cci.gov.in/images/whatsnew/en/filling-up-of-posts-in-the-cci-on-deputation-basis-last-date-220820251749807852.pdf
df2da23234cb15e3,whats_new,10,Frequently Asked Questions on Combinations,,https://cci.gov.in/images/whatsnew/en/faq-book-english-compressed1747724324.pdf
a599c0e8646d7f2d,public_notices,1,"Notice for extended time for inviting public comments in case No. 42-2022 ,  Last Date: 01.09.2025",2025-01-09,https://cci.gov.in/images/publicnotices/en/extension-notice-dated-200820251755689802.pdf
25a1719e757fe196,public_notices,2,Notice inviting public comments with respect to the Commitment offer submitted by the Opposite parties in Case No 42 of 2022 titled Winzo Games Pvt. Ltd. v Google LLC and Ors.,,https://cci.gov.in/images/publicnotices/en/notice-for-public-consultation1753877792.pdf
5714076434725d5d,public_notices,3,Clarifications on Request for Proposal (RFP) of Market Study on Artificial Intelligence and Competition,,https://cci.gov.in/images/publicnotices/en/rfp-clarifications-240520241716558689.pdf
e82632f70c3a9ebe,public_notices,4,Requirement of Advocates / Law Firms for Empanelment to represent the Competition Commission of India and Director General before various Courts and Tribunals.,,https://cci.gov.in/images/publicnotices/en/new-notice11714481140.pdf
7bcc27fc498f8fa3,public_notices,5,"Soliciting suggestions/ feedback/ comments/ inputs/ views from general public/ stakeholders on the draft competition commission of india (determination of turnover or income) regulations, 2023.",,https://cci.gov.in/images/publicnotices/en/draft-public-notice1705412063.pdf
0f76c64f71ba49de,public_notices,6,Public Interest Disclosure and Protection of Informers (PIDPI) Resolution,,https://cci.gov.in/images/publicnotices/en/pidpi-resolution-and-procedure1698727787.pdf
e124bf37794071f8,public_notices,7,Brief reasons for engagement of interpreters of Chinese and Russian  Language during 8th BRICS International Competition Conference  on nomination basis under Rule 194 of GFR.,,https://cci.gov.in/images/publicnotices/en/note-for-uploading-on-website1696504871.pdf
0f8ab5fec4dbb9cb,public_notices,8,Notice of engaging  Vidhi Centre for Legal Policy (VCLP) on nomination basis pursuant to MCA Letter No. C-31012/2/18-Vigilance/MCA and CVC Circular dated 06.04.2021,2018-12-02,https://cci.gov.in/images/publicnotices/en/matrial-for-website-public-notice-11691407358.pdf
fd1a84b980dbca62,public_notices,9,Notice of award of work to Super Ads Creative Media Private Limited on nomination basis pursuant to MCA Letter No. C-31012/2/18-Vigilance/MCA and CVC Circular dated 06.04.2021,2018-12-02,https://cci.gov.in/images/publicnotices/en/public-notice1684306594.pdf
9d8d487049923d6f,public_notices,10,Notice of award of work to JCDecaux Advertising India Pvt. Ltd. on nomination basis pursuant to MCA Letter No. C-31012/2/18-Vigilance/MCA and CVC Circular dated 06.04.2021,2018-12-02,https://cci.gov.in/images/publicnotices/en/work1658483792.pdf
f7e20595d765956a,public_notices,11,Practice Direction,,https://cci.gov.in/images/publicnotices/en/practicedirection16521734271652612776.pdf
6e207203e6d6217d,public_notices,12,Undertaking of Submissions,,https://cci.gov.in/images/publicnotices/en/undertaking-of-submissions1652612585.pdf
7f59d099933cc685,public_notices,13,Measures in view of threat of Carona Virus / Covid 19 Pandamic,,https://cci.gov.in/images/publicnotices/en/public-notice1652612363.pdf
18760d07d1806bb8,press_release,1,CCI approves the proposed acquisition of certain shareholding (on a fully diluted basis) of Haldiram Snacks Food Private Limited by L Catterton India Fund,2026-03-02,https://cci.gov.in/images/pressrelease/en/press-release1770123612.pdf
2d522f3afa924cc5,press_release,2,Commission approves subscription to 15.01% equity shareholding of Ambit Wealth Private Limited (Target) by Daiwa International Holdings Inc. (Acquirer).,2026-03-02,https://cci.gov.in/images/pressrelease/en/press-release1770123503.pdf
b9341d5131e12374,press_release,3,Commission approves acquisition of certain shareholding of Aadhar Housing Finance Limited (Target) by AXDI LDII SPV 1 LTD (Acquirer).,2026-03-02,https://cci.gov.in/images/pressrelease/en/press-release1770123418.pdf
fab60bcee30c19df,press_release,4,"Commission approves acquisition of certain shareholding of Toyota Industries Corporation by Elliott Associates, L.P., Elliott International, L.P., and The Liverpool Limited Partnership (Acquirers)",2026-01-27,https://cci.gov.in/images/pressrelease/en/press-release1769519585.pdf
00fe16c8172ce0b0,press_release,5,CCI approves the proposed acquisition of certain unitholding in National Highways Infra Trust by Nitro Asia Holdings II Pte. Ltd.,2026-01-27,https://cci.gov.in/images/pressrelease/en/press-release1769519509.pdf
afc9be16b4575c95,press_release,6,Commission approves acquisition of 50.01% equity share capital of Thriveni Pellets Private Limited by Tata Steel Limited,2026-01-20,https://cci.gov.in/images/pressrelease/en/press-release1768914952.pdf
313adc1016fefc0f,press_release,7,"Commission approves the proposed combination between Bhushan Power and Steel Limited (BPSL), JSW Sambalpur Steel Limited (JSW Sambalpur), JFE Steel Corporation (JFE) and JSW Kalinga Steel Limited (JSW Kalinga).",2026-01-20,https://cci.gov.in/images/pressrelease/en/press-release1768914746.pdf
88352167bdd9089e,press_release,8,CCI approves the proposed acquisition of certain shareholding in RBL Bank Limited by Emirates NBD Bank (P.J.S.C.),2026-01-20,https://cci.gov.in/images/pressrelease/en/press-release1768914611.pdf
17ce2485c12a44b2,press_release,9,Commission approves acquisition of certain equity stake in Apollo Health and Lifestyle Limited (Target) by Apollo Hospitals Enterprise Limited (Acquirer),2026-01-20,https://cci.gov.in/images/pressrelease/en/press-release1768914488.pdf
9f358e9eb6ed97e1,press_release,10,"Commission approves acquisition by ChrysCapital Fund X, Two Infinity Partners and Blue wave Investments Limited, collectively, of certain equity share capital in Nash Industries (I) Private Limited",2026-01-13,https://cci.gov.in/images/pressrelease/en/press-release1768308307.pdf
22f104e178575aea,press_release,11,Commission approves acquisition of Krosaki Harima Corporation by Nippon Steel Corporation,2026-06-01,https://cci.gov.in/images/pressrelease/en/press-release1767708989.pdf
d655886852731b9c,press_release,12,Commission approves proposed acquisition of certain additional shareholding in Roppen Transportation Services Private Limited by MIH Investments One B.V.,2026-06-01,https://cci.gov.in/images/pressrelease/en/press-release1767708920.pdf
59d4ff0d74b5e7bf,press_release,13,"CCI directs M/s KKK Mills, Ludhiana and M/s Sankeshwar Synthetics Pvt. Ltd, Ludhiana to cease and desist from anti-competitive practices.",2026-05-01,https://cci.gov.in/images/pressrelease/en/press-release1767604950.pdf
