id,section,no,title,date,pdf_link,pdf_filename
a599c0e8646d7f2d,public_notices,1,"Notice for extended time for inviting public comments in case No. 42-2022 ,  Last Date: 01.09.2025",2025-01-09,https://cci.gov.in/images/publicnotices/en/extension-notice-dated-200820251755689802.pdf,a599c0e8646d7f2d.pdf
25a1719e757fe196,public_notices,2,Notice inviting public comments with respect to the Commitment offer submitted by the Opposite parties in Case No 42 of 2022 titled Winzo Games Pvt. Ltd. v Google LLC and Ors.,,https://cci.gov.in/images/publicnotices/en/notice-for-public-consultation1753877792.pdf,25a1719e757fe196.pdf
5714076434725d5d,public_notices,3,Clarifications on Request for Proposal (RFP) of Market Study on Artificial Intelligence and Competition,,https://cci.gov.in/images/publicnotices/en/rfp-clarifications-240520241716558689.pdf,5714076434725d5d.pdf
e82632f70c3a9ebe,public_notices,4,Requirement of Advocates / Law Firms for Empanelment to represent the Competition Commission of India and Director General before various Courts and Tribunals.,,https://cci.gov.in/images/publicnotices/en/new-notice11714481140.pdf,e82632f70c3a9ebe.pdf
7bcc27fc498f8fa3,public_notices,5,"Soliciting suggestions/ feedback/ comments/ inputs/ views from general public/ stakeholders on the draft competition commission of india (determination of turnover or income) regulations, 2023.",,https://cci.gov.in/images/publicnotices/en/draft-public-notice1705412063.pdf,7bcc27fc498f8fa3.pdf
0f76c64f71ba49de,public_notices,6,Public Interest Disclosure and Protection of Informers (PIDPI) Resolution,,https://cci.gov.in/images/publicnotices/en/pidpi-resolution-and-procedure1698727787.pdf,0f76c64f71ba49de.pdf
e124bf37794071f8,public_notices,7,Brief reasons for engagement of interpreters of Chinese and Russian  Language during 8th BRICS International Competition Conference  on nomination basis under Rule 194 of GFR.,,https://cci.gov.in/images/publicnotices/en/note-for-uploading-on-website1696504871.pdf,e124bf37794071f8.pdf
0f8ab5fec4dbb9cb,public_notices,8,Notice of engaging  Vidhi Centre for Legal Policy (VCLP) on nomination basis pursuant to MCA Letter No. C-31012/2/18-Vigilance/MCA and CVC Circular dated 06.04.2021,2018-12-02,https://cci.gov.in/images/publicnotices/en/matrial-for-website-public-notice-11691407358.pdf,0f8ab5fec4dbb9cb.pdf
fd1a84b980dbca62,public_notices,9,Notice of award of work to Super Ads Creative Media Private Limited on nomination basis pursuant to MCA Letter No. C-31012/2/18-Vigilance/MCA and CVC Circular dated 06.04.2021,2018-12-02,https://cci.gov.in/images/publicnotices/en/public-notice1684306594.pdf,fd1a84b980dbca62.pdf
9d8d487049923d6f,public_notices,10,Notice of award of work to JCDecaux Advertising India Pvt. Ltd. on nomination basis pursuant to MCA Letter No. C-31012/2/18-Vigilance/MCA and CVC Circular dated 06.04.2021,2018-12-02,https://cci.gov.in/images/publicnotices/en/work1658483792.pdf,9d8d487049923d6f.pdf
f7e20595d765956a,public_notices,11,Practice Direction,,https://cci.gov.in/images/publicnotices/en/practicedirection16521734271652612776.pdf,f7e20595d765956a.pdf
6e207203e6d6217d,public_notices,12,Undertaking of Submissions,,https://cci.gov.in/images/publicnotices/en/undertaking-of-submissions1652612585.pdf,6e207203e6d6217d.pdf
7f59d099933cc685,public_notices,13,Measures in view of threat of Carona Virus / Covid 19 Pandamic,,https://cci.gov.in/images/publicnotices/en/public-notice1652612363.pdf,7f59d099933cc685.pdf
