id,title,pdf_link,pdf_filename,source_page,scraped_at
250227174827_en,Notification of Telecommunication Equipment under Phase-VI of MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20250227174722_en.pdf,250227174827_en_notification-of-telecommunication-equipment-under-phasevi-of-mtcte.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.497840+00:00
250129150105_en,Exemption pertaining to various parameters/ Interfaces of ERs under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20250129145736_en.pdf,250129150105_en_exemption-pertaining-to-various-parameters-interfaces-of-ers.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.497909+00:00
241029134337_en,Criteria for certification of Telecom Equipment having specialized test requirements under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20241029134303_en.pdf,241029134337_en_criteria-for-certification-of-telecom-equipment-having-specialized.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.497951+00:00
241028112448_en,Handling of Appeals under MTCTE regime,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20241028112344_en.pdf,241028112448_en_handling-of-appeals-under-mtcte-regime.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.497989+00:00
241003124053_en,Security Certification for IP Router and WiFi CPE Products,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20241003123958_en.pdf,241003124053_en_security-certification-for-ip-router-and-wifi-cpe.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498020+00:00
240930131003_en,Acceptance of ILAC test reports under MTCTE.,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240930130729_en.pdf,240930131003_en_acceptance-of-ilac-test-reports-under-mtcte.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498045+00:00
240425132652_en,Non-Applicability of test parameters pertaining to LAN Switch ER under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240425132503_en.pdf,240425132652_en_nonapplicability-of-test-parameters-pertaining-to-lan-switch.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498069+00:00
240425132502_en,Extension of Acceptance of Test Reports from Labs Accredited by ILAC Signatories for notified Phase V products,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240425132347_en.pdf,240425132502_en_extension-of-acceptance-of-test-reports-from-labs.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498098+00:00
240403175844_en,Exemption pertaining to Parameters/Interfaces of applicable ERs under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240403175714_en.pdf,240403175844_en_exemption-pertaining-to-parametersinterfaces-of-applicable-ers-under.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498120+00:00
240403175713_en,Acceptance of test report/certification for Optical Fibre ( Single Mode) and Optical Fibre Cable under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240403174357_en.pdf,240403175713_en_acceptance-of-test-reportcertification-for-optical-fibre-single.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498143+00:00
240403154256_en,MTCTE Procedure (v3.0/ Rel. April 2024),https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240403153309_en.pdf,240403154256_en_mtcte-procedure-v30-rel-april-2024.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498165+00:00
240402114214_en,Extension of mandatory security testing of WiFi CPE and IP Router under MTCTE from 01.04.2024 to 01.07.2024,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240402114100_en.pdf,240402114214_en_extension-of-mandatory-security-testing-of-wifi-cpe.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498186+00:00
240401184036_en,Extension of mandatory certification date for 10 products (ERs) notified under phase-III and IV of MTCTE by four months i.e. from 01.04.2024 to 01.08.2024,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240401183958_en.pdf,240401184036_en_extension-of-mandatory-certification-date-for-10-products.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498212+00:00
240123164423_en,Requirement of documents /exemption against certain parameters of ER of PON family Broadband Equipment under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240123164332_en.pdf,240123164423_en_requirement-of-documents-exemption-against-certain-parameters-of.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498233+00:00
240108162119_en,Exemption pertaining to Optical Fibre (Single Mode) and Optical Fibre Cable under MTCTE till 30.06.2024,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240108161858_en.pdf,240108162119_en_exemption-pertaining-to-optical-fibre-single-mode-and.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498255+00:00
231229230109_en,Acceptance of different types of test reports or certifications for Optical Fibre - Single Mode and Optical Fibre Cable under MTCTE Scheme,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20231229230037_en.pdf,231229230109_en_acceptance-of-different-types-of-test-reports-or.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498275+00:00
