2025-12-16 11:57:45,557 | INFO | Opening NPCI page
2025-12-16 11:57:48,214 | INFO | Using default Press Releases view
2025-12-16 11:57:48,228 | INFO | Press Releases: 0 rows found
2025-12-16 11:57:48,229 | INFO | Switching to Media Coverage tab
2025-12-16 11:57:51,593 | INFO | Media Coverage: 10 rows found
2025-12-16 11:57:51,597 | INFO | [Media Coverage] Row 1: NBSL Press release - BHIM Goes Live with UPI Circle Full Delegation, Enabling Authorised UPI Payments within set limits
2025-12-16 11:57:51,910 | INFO | PDF captured: https://www.npci.org.in/uploads/NBSL_Press_Release_BHIM_goes_live_with_UPI_Circle_Full_Delegation_a95f4b40b5.pdf
2025-12-16 11:57:51,914 | INFO | [Media Coverage] Row 2: NPCI Press Release - Media Statement - Update Regarding Cheque Truncation System (CTS) – Continuous Clearing
2025-12-16 11:57:52,294 | INFO | PDF captured: https://www.npci.org.in/uploads/NPCI_Press_Release_Media_Statement_Update_Regarding_CTS_Continuous_Clearing_4d225fdeeb.pdf
2025-12-16 11:57:52,297 | INFO | [Media Coverage] Row 3: NPCI Press Release - RuPay JCB cardholders can now avail 25% cashback for in-store purchases* in Indonesia, Malaysia, Singapore, Japan and Philippines
2025-12-16 11:57:52,324 | INFO | PDF captured: https://www.npci.org.in/uploads/NPCI_Press_Release_Ru_Pay_JCB_cardholders_can_now_avail_25_cashback_for_in_store_purchases_54cda18d9d.pdf
2025-12-16 11:57:52,327 | INFO | [Media Coverage] Row 4: NPCI Press Release - Media Statement Regarding Cheque Clearance
2025-12-16 11:57:52,635 | INFO | PDF captured: https://www.npci.org.in/uploads/Media_Statement_Regarding_Cheque_Clearance_8d6a0245de.pdf
2025-12-16 11:57:52,639 | INFO | [Media Coverage] Row 5: NPCI Press Release - RBI Governor unveils New Generation of Digital Payment Initiatives at GFF 2025
2025-12-16 11:57:52,667 | INFO | PDF captured: https://www.npci.org.in/uploads/RBI_Governor_unveils_New_Generation_of_Digital_Payment_Initiatives_at_GFF_6494fabdfc.pdf
2025-12-16 11:57:52,670 | INFO | [Media Coverage] Row 6: NPCI Press Release - RBI Deputy Governor Launches New Digital Payment Innovations at GFF 2025
2025-12-16 11:57:53,019 | INFO | PDF captured: https://www.npci.org.in/uploads/RBI_Deputy_Governor_Launches_New_Digital_Payment_Innovations_at_GFF_2025_b16c9cb4b1.pdf
2025-12-16 11:57:53,023 | INFO | [Media Coverage] Row 7: NPCI Press Release - DFS Secretary Launches Initiatives to Simplify Digital Payment Experience at GFF 2025
2025-12-16 11:57:53,371 | INFO | PDF captured: https://www.npci.org.in/uploads/DFS_Secretary_Launches_Initiatives_to_Simplify_Digital_Payment_Experience_at_GFF_2025_e28fd42a4f.pdf
2025-12-16 11:57:53,374 | INFO | [Media Coverage] Row 8: NPCI Press release – NPCI and RBL Bank expand RuPay On-The-Go across All Bengaluru Metro Lines
2025-12-16 11:57:53,753 | INFO | PDF captured: https://www.npci.org.in/uploads/NPCI_Press_release_NPCI_and_RBL_Bank_expand_Ru_Pay_On_The_Go_across_All_Bengaluru_Metro_Lines_86a90a9ce5.pdf
2025-12-16 11:57:53,756 | INFO | [Media Coverage] Row 9: NBSL Press release - BHIM, Bharat Ka Apna Payments App, Lights Up Diwali with a Touch Of Goodness, Empowering India’s Women Artisans
2025-12-16 11:57:54,070 | INFO | PDF captured: https://www.npci.org.in/uploads/NBSL_Press_release_BHIM_Bharat_Ka_Apna_Payments_App_Lights_Up_Diwali_with_a_Touch_Of_Goodness_Empowering_Indias_Women_Artisans_910694a9c9.pdf
2025-12-16 11:57:54,074 | INFO | [Media Coverage] Row 10: NBSL Press release - BHIM Payments App, Bharat Ka Apna Payments App Collaborates with Sony Entertainment Television to launch an exclusive ‘Golden Week’ in Kaun Banega Crorepati
2025-12-16 11:57:54,406 | INFO | PDF captured: https://www.npci.org.in/uploads/NBSL_Press_Release_BHIM_KBC_f18709af18.pdf
2025-12-16 11:57:54,438 | INFO | Total files collected: 10
2025-12-16 11:57:54,449 | INFO | Added 10 new entries
