id,title,publish_date,pdf_url,category,scraped_at
dc4985fa48abfb42,Clarification on Charge Structure of...,,https://www.pfrda.org.in/documents/33652/151840/Circular+-+Clarification+on+Charge+Structure+of+CRAs.pdf,CIRCULAR,05/05/2026
98b94b12c5135a42,Atal Pension Yojana (APY) Crosses...,,https://www.pfrda.org.in/documents/33652/86710/Final+PRESS+RELEASE-+APY+9+Cr+Enrolments.pdf,CIRCULAR,05/05/2026
df4833e3d7eca6f3,Financial Intelligence Unit-India and Pension...,,https://www.pfrda.org.in/documents/33652/86710/Press+Release+Page+_+Press+Information+Bureau.pdf,CIRCULAR,05/05/2026
95b4ba0e548401b4,Declaration of Holiday on 14th...,,https://www.pfrda.org.in/documents/33652/301830/Office+Order+Declaration+of+Holiday+on+14th+April+2026++Birthday+of+Dr+B+R+Ambedkar+reg..pdf,CIRCULAR,05/05/2026
deeff0d2596695ff,NPS Swasthya Pension Scheme- Proof...,,https://www.pfrda.org.in/documents/33652/151840/Circular+-+NPS+Swasthya+Pension+Scheme+POC+2.pdf,CIRCULAR,05/05/2026
1f1edc58a2c3d532,Pension Bulletin Jan Feb 2026,,https://www.pfrda.org.in/documents/33652/145901/Pension+Bulletin+Jan+Feb+2026+Vol+XIV+Issue+XII.pdf,CIRCULAR,05/05/2026
acaaff81021a7476,Result - REQUEST FOR PROPOSAL...,,,CIRCULAR,05/05/2026
585ebf4a3cddeb75,Result - REQUEST FOR PROPOSAL...,,,CIRCULAR,05/05/2026
9ae1db0f7db2d40e,Result - REQUEST FOR PROPOSAL...,,,CIRCULAR,05/05/2026
8454886ced16c916,Pension Fund Regulatory and Development...,,,CIRCULAR,05/05/2026
469e68b9a913170c,Permitting the Points of Presence...,,,CIRCULAR,05/05/2026
1075bfcf09772eeb,Notice - Request For Proposal...,,,CIRCULAR,05/05/2026
60fc0d42cb5b6e3a,Implementation of Multiple NAVs framework...,,,CIRCULAR,05/05/2026
f8868c1036e8c8a7,CLARIFICATION TO THE PRE-BID QUERIES...,,,CIRCULAR,05/05/2026
e7d7a8c557478e58,CLARIFICATION TO THE PRE-BID QUERIES...,,,CIRCULAR,05/05/2026
100e7a7e3de91481,CLARIFICATIONS TO THE PRE-BID QUERIES...,,,CIRCULAR,05/05/2026
92a7ef611c803b36,Inviting bids from IRDAI registered...,,,CIRCULAR,05/05/2026
9db3b3781726fe07,Tender Document: Inviting bids from...,,,CIRCULAR,05/05/2026
489a1ce48e03cc64,Tender Document: Inviting bids from...,,,CIRCULAR,05/05/2026
1b1e10af32ed1a90,Investment Management Fee (IMF) and...,,,CIRCULAR,05/05/2026
0913fa9ae3527101,Regulations,,,CIRCULAR,05/05/2026
288815bac274ac35,Notifications,,,CIRCULAR,05/05/2026
b8455d73f243eab6,Guidelines,,,CIRCULAR,05/05/2026
63c97c48742fcec1,Compendium,,,CIRCULAR,05/05/2026
319e57aa83adf171,General Orders,,,CIRCULAR,05/05/2026
58459121d7f44d5a,Enforcement Orders,,,CIRCULAR,05/05/2026
9dae3b9c624f3299,Exposure Draft,,,CIRCULAR,05/05/2026
8a5357a80ce1bcda,Master Circulars,,,CIRCULAR,05/05/2026
a4b2348c73719734,Past Hour   (0),,,CIRCULAR,05/05/2026
67fcba6fd260896c,"Clarification on Charge Structure of CRAs under the pension schemes regulated / administered by the PFRDA
Central Recordkeeping Agency
Ref: PFRDA/2026/23/REG-CRA/01
Issue Date: 29-04-2026",04/29/2026,,CIRCULAR,05/05/2026
c091c8acce2efc79,"NPS Swasthya Pension Scheme- Proof of Concept (PoC 2) under the Regulatory Sandbox Framework
Central Recordkeeping Agency
Ref: PFRDA/2026/22/SUP-CRA/03
Issue Date: 07-04-2026",04/07/2026,,CIRCULAR,05/05/2026
f173cada82fa55be,"Permitting the Points of Presence for Engagement of Other Persons as Pension Agents dated 20.03.2026
Point of Presence
Ref: PFRDA/2026/18/REG-POP/03
Issue Date: 25-03-2026",03/25/2026,,CIRCULAR,05/05/2026
